address,lat,lon
"800 E POPLAR ST, Pocatello, ID 83201",42.886059,-112.442639
"269 WASHINGTON AVE, Pocatello, ID 83201",42.8799647,-112.4466564
"203 JEFFERSON AVE, Pocatello, ID 83201",42.8788978,-112.4417516
"689 WASHINGTON AVE, Pocatello, ID 83201",42.8874943,-112.4465879
"111 RANDOLPH AVE, Pocatello, ID 83201",42.8772091,-112.4429796
"777 WASHINGTON, Pocatello, ID 83201",42.8889954,-112.4468188
"205 RANDOLPH AVE, Pocatello, ID 83201",42.8789214,-112.4429919
"301 PARK AVE, Pocatello, ID 83201",42.880689,-112.444196
"868 WASHINGTON AVE, Pocatello, ID 83201",42.8908273,-112.4463306
"585 WASHINGTON, Pocatello, ID 83201",42.8856444,-112.4466085
"696 WAYNE AVE, Pocatello, ID 83201",42.8876202,-112.4451473
"111 RANDOLPH, Pocatello, ID 83201",42.8772091,-112.4429796
"285 RANDOLPH AVE, Pocatello, ID 83201",42.8802096,-112.4429707
"659 WAYNE AVE, Pocatello, ID 83201",42.8871567,-112.4453553
"500 E PINE ST, Pocatello, ID 83201",42.884267,-112.446349
"846 E POPLAR, Pocatello, ID 83201",42.886065,-112.4422249
"763 WASHINGTON AVE, Pocatello, ID 83201",42.8888201,-112.4465842
"255 RANDOLPH AVE, Pocatello, ID 83201",42.8797265,-112.4429787
"650 PARK AVE, Pocatello, ID 83201",42.8871083,-112.4439249
"490 WAYNE AVE, Pocatello, ID 83201",42.8839312,-112.4451678
"750 E POPLAR, Pocatello, ID 83201",42.8860712,-112.4434122
"409 WASHINGTON AVE, Pocatello, ID 83201",42.8826101,-112.4466345
"837 RANDOLPH AVE, Pocatello, ID 83201",42.8902218,-112.4429027
"846 E POPLAR ST, Pocatello, ID 83201",42.886065,-112.4422249
"315 RANDOLPH AVE, Pocatello, ID 83201",42.8809033,-112.4429623
"799 JEFFERSON AVE, Pocatello, ID 83201",42.889389,-112.441685
"420 E OAK ST, Pocatello, ID 83201",42.877024,-112.447266
"136 WASHINGTON AVE, Pocatello, ID 83201",42.8776335,-112.4464513
"123 JEFFERSON AVE, Pocatello, ID 83201",42.8773984,-112.4417652
"603 WILLARD AVE, Pocatello, ID 83201",42.8861513,-112.4478398
"670 RANDOLPH AVE, Pocatello, ID 83201",42.8872049,-112.4426863
"330 PARK AVE, Pocatello, ID 83201",42.8811648,-112.4439688
"542 PERSHING AVE, Pocatello, ID 83201",42.8849601,-112.4500873
"810 WAYNE AVE, Pocatello, ID 83201",42.889773,-112.4451494
